"Country","Ano","ppp","ipc","poblacion","gasto_ml","gasto_dolares","tasa_crecpob","gastopc"
"Mexico",2001,5.475,49.426,100.105,1453.7,265.51598173516,0.0133623525838944,2652.37482378662
"Mexico",2002,5.687,51.916,101.494,1547.351,272.085633901881,0.0138754307976625,2680.80511066547
"Mexico",2003,5.802,54.278,102.89,1776.228,306.140641158221,0.0137545076556249,2975.41686420664
"Mexico",2004,6.101,56.826,104.272,1892.149,310.1375184396,0.0134318203907087,2974.31255216741
"Mexico",2005,6.263,59.094,105.669,2115.508,337.778700303369,0.0133976522940003,3196.57326466011
"Mexico",2006,6.463,61.241,107.155,2399.339,371.242302336376,0.0140627809480549,3464.53550778196
"Mexico",2007,6.658,63.672,108.745,2713.05,407.487233403424,0.0148383183239233,3747.18132698905
"Mexico",2008,6.936,66.938,110.405,3426.112,493.960784313726,0.0152650696583752,4474.07983618247
"Mexico",2009,7.163,70.483,112.095,3380.623,471.956303224906,0.0153072777501018,4210.32430728316
"Mexico",2010,7.4,73.411,113.749,3699.063,499.873378378378,0.0147553414514474,4394.52987172088
"Mexico",2011,7.673,75.91,115.367,4064.774,529.750293236022,0.0142243008729748,4591.87023356785
"Mexico",2012,7.859,79.031,116.936,4462.807,567.859396869831,0.0136000762783119,4856.15547709714
"Mexico",2013,7.884,82.038,118.454,4521.381,573.488203957382,0.0129814599439009,4841.44228103215
"Mexico",2014,8.045,85.335,119.936,4887.991,607.581230577999,0.0125111857767572,5065.87872346917
"Mexico",2015,8.326,87.655,121.348,5106.615,613.333533509488,0.0117729455709712,5054.33574108752
"Mexico",2016,8.446,90.127,122.715,5505.755,651.877219985792,0.0112651217984641,5312.12337518471
"Mexico",2017,8.871,95.571,124.042,5638.15,635.57096156014,0.0108136739599887,5123.83677754422
"Mexico",2018,9.093,100.251,125.328,6036.851,663.900912790058,0.0103674561841958,5297.30716831082
"Mexico",2019,9.303,103.894,126.578,6346.53,682.202515317639,0.00997382867356067,5389.58203888226
"Mexico",2020,9.561,107.425,127.792,6691.984,699.925112435938,0.00959092417323704,5477.06517180996
"Mexico",2021,9.844,113.54,128.972,7119.26,723.208045509955,0.00923375485163391,5607.4810463508
